data,label
"[2013, 23, 0, 21, 1]",0
"[2013, 23, 0, 22, 1]",0
"[2013, 23, 0, 23, 1]",0
"[2013, 23, 1, 0, 1]",2
"[2013, 23, 1, 1, 1]",0
"[2013, 23, 1, 2, 3]",0
"[2013, 23, 1, 3, 1]",0
"[2013, 23, 1, 4, 1]",0
"[2013, 23, 1, 5, 3]",0
"[2013, 23, 1, 6, 2]",3
"[2013, 23, 1, 7, 2]",10
"[2013, 23, 1, 8, 2]",19
"[2013, 23, 1, 9, 1]",4
"[2013, 23, 1, 10, 1]",2
"[2013, 23, 1, 11, 1]",0
"[2013, 23, 1, 12, 1]",0
"[2013, 23, 1, 13, 1]",0
"[2013, 23, 1, 14, 1]",1
"[2013, 23, 1, 15, 1]",3
"[2013, 23, 1, 16, 1]",0
"[2013, 23, 1, 17, 1]",0
"[2013, 23, 1, 18, 1]",2
"[2013, 23, 1, 19, 1]",0
"[2013, 23, 1, 20, 1]",0
"[2013, 23, 1, 21, 1]",2
"[2013, 23, 1, 22, 1]",2
"[2013, 23, 1, 23, 3]",0
"[2013, 23, 2, 0, 1]",0
"[2013, 23, 2, 1, 1]",0
"[2013, 23, 2, 2, 1]",0
"[2013, 23, 2, 3, 1]",0
"[2013, 23, 2, 4, 1]",0
"[2013, 23, 2, 5, 1]",0
"[2013, 23, 2, 6, 2]",0
"[2013, 23, 2, 7, 1]",7
"[2013, 23, 2, 8, 2]",20
"[2013, 23, 2, 9, 2]",14
"[2013, 23, 2, 10, 2]",4
"[2013, 23, 2, 11, 5]",7
"[2013, 23, 2, 12, 2]",5
"[2013, 23, 2, 13, 3]",7
"[2013, 23, 2, 14, 4]",3
"[2013, 23, 2, 15, 2]",8
"[2013, 23, 2, 16, 2]",7
"[2013, 23, 2, 17, 2]",11
"[2013, 23, 2, 18, 2]",18
"[2013, 23, 2, 19, 2]",18
"[2013, 23, 2, 20, 2]",11
"[2013, 23, 2, 21, 2]",0
"[2013, 23, 2, 22, 2]",0
"[2013, 23, 2, 23, 2]",0
"[2013, 23, 3, 0, 2]",0
"[2013, 23, 3, 1, 2]",2
"[2013, 23, 3, 2, 2]",0
"[2013, 23, 3, 3, 2]",0
"[2013, 23, 3, 4, 2]",0
"[2013, 23, 3, 5, 2]",0
"[2013, 23, 3, 6, 2]",3
"[2013, 23, 3, 7, 2]",6
"[2013, 23, 3, 8, 2]",9
"[2013, 23, 3, 9, 2]",2
"[2013, 23, 3, 10, 2]",2
"[2013, 23, 3, 11, 2]",1
"[2013, 23, 3, 12, 2]",5
"[2013, 23, 3, 13, 1]",6
"[2013, 23, 3, 14, 1]",4
"[2013, 23, 3, 15, 3]",4
"[2013, 23, 3, 16, 1]",10
"[2013, 23, 3, 17, 1]",16
"[2013, 23, 3, 18, 3]",33
"[2013, 23, 3, 19, 3]",25
"[2013, 23, 3, 20, 3]",6
"[2013, 23, 3, 21, 3]",7
"[2013, 23, 3, 22, 3]",4
"[2013, 23, 3, 23, 3]",0
"[2013, 23, 4, 0, 1]",3
"[2013, 23, 4, 1, 1]",0
"[2013, 23, 4, 2, 1]",0
"[2013, 23, 4, 3, 1]",0
"[2013, 23, 4, 4, 1]",0
"[2013, 23, 4, 5, 1]",1
"[2013, 23, 4, 6, 1]",1
"[2013, 23, 4, 7, 1]",3
"[2013, 23, 4, 8, 1]",8
"[2013, 23, 4, 9, 1]",9
"[2013, 23, 4, 10, 1]",0
"[2013, 23, 4, 11, 1]",2
"[2013, 23, 4, 12, 1]",2
"[2013, 23, 4, 13, 1]",2
"[2013, 23, 4, 14, 1]",2
"[2013, 23, 4, 15, 1]",6
"[2013, 23, 4, 16, 1]",4
"[2013, 23, 4, 17, 1]",14
"[2013, 23, 4, 18, 1]",20
"[2013, 23, 4, 19, 1]",4
"[2013, 23, 4, 20, 1]",0
"[2013, 23, 4, 21, 1]",0
"[2013, 23, 4, 22, 1]",0
"[2013, 23, 4, 23, 1]",0
"[2013, 23, 5, 0, 1]",2
"[2013, 23, 5, 1, 5]",0
"[2013, 23, 5, 2, 1]",0
"[2013, 23, 5, 3, 1]",0
"[2013, 23, 5, 4, 1]",0
"[2013, 23, 5, 5, 2]",0
"[2013, 23, 5, 6, 1]",2
"[2013, 23, 5, 7, 1]",4
"[2013, 23, 5, 8, 1]",19
"[2013, 23, 5, 9, 1]",11
"[2013, 23, 5, 10, 3]",4
"[2013, 23, 5, 11, 2]",2
"[2013, 23, 5, 12, 3]",2
